name,latitude,longitude,boro,category,factype
Engine 253,40.598957,-73.988518,Brooklyn,Fire Services,
Engine 318/Ladder 166,40.57776,-73.993011,Brooklyn,Fire Services,
Engine 254/Ladder 153,40.598496,-73.962008,Brooklyn,Fire Services,
Battalion 43/Engine 245/Ladder 161,40.576735,-73.97616,Brooklyn,Fire Services,
Battalion 58/Engine 257/Ladder 170,40.646611,-73.903569,Brooklyn,Fire Services,
Engine 323,40.620133,-73.915859,Brooklyn,Fire Services,
Engine 309/Ladder 159,40.615256,-73.928169,Brooklyn,Fire Services,
Engine 246/Ladder 169,40.584275,-73.959413,Brooklyn,Fire Services,
Engine 321,40.602267,-73.935188,Brooklyn,Fire Services,
Marine Battlion/Marine 6,40.705184,-73.971631,Brooklyn,Fire Services,
Battalion 40/Engine 201/Ladder 114,40.645405,-74.01318,Brooklyn,Fire Services,
Rescue 2,40.671045,-73.918868,Brooklyn,Fire Services,
Engine 258/Ladder 115,40.744986,-73.951755,Queens,Fire Services,
Engine 325/Ladder 163,40.745278,-73.913705,Queens,Fire Services,
Battalion 45/Engine 259/Ladder 128,40.736398,-73.933203,Queens,Fire Services,
Engine 260,40.759679,-73.940085,Queens,Fire Services,
Ladder 116,40.755402,-73.933266,Queens,Fire Services,
Engine 262,40.767526,-73.929232,Queens,Fire Services,
Engine 263/Ladder 117,40.768225,-73.908849,Queens,Fire Services,
Battalion 49/Engine 312,40.773444,-73.910434,Queens,Fire Services,
Engine 307/Ladder 154,40.755804,-73.885639,Queens,Fire Services,
Engine 289/Ladder 138,40.74617,-73.865316,Queens,Fire Services,
Engine 316,40.762427,-73.869022,Queens,Fire Services,
Division 14/Engine 324,40.737914,-73.851944,Queens,Fire Services,
Engine 292/Rescue 4,40.740771,-73.900987,Queens,Fire Services,
Squad 288,40.726096,-73.896235,Queens,Fire Services,
Battalion 46/Engine 287/Ladder 136,40.736454,-73.878888,Queens,Fire Services,
Engine 305/Ladder 151,40.718186,-73.837707,Queens,Fire Services,
Engine 286/Ladder 135,40.701217,-73.886656,Queens,Fire Services,
Engine 319,40.712579,-73.874942,Queens,Fire Services,
Engine 297/Ladder 130,40.784923,-73.848081,Queens,Fire Services,
Engine 295/Ladder 144,40.78898,-73.815949,Queens,Fire Services,
Engine 273/Ladder 129,40.759869,-73.82657,Queens,Fire Services,
Battalion 52/Engine 274,40.762498,-73.812648,Queens,Fire Services,
Engine 320/Ladder 167,40.763311,-73.786997,Queens,Fire Services,
Engine 306,40.763944,-73.769678,Queens,Fire Services,
Engine 315/Ladder 125,40.720109,-73.807759,Queens,Fire Services,
Engine 299/Ladder 152,40.738158,-73.793385,Queens,Fire Services,
Battalion 53/Engine 326/Ladder 160,40.747005,-73.75597,Queens,Fire Services,
Engine 313/Ladder 164,40.76677,-73.742328,Queens,Fire Services,
Engine 251,40.744476,-73.716081,Queens,Fire Services,
Engine 293,40.688614,-73.855934,Queens,Fire Services,
Engine 285/Ladder 142,40.682524,-73.84186,Queens,Fire Services,
Engine 294/Ladder 143,40.694829,-73.846238,Queens,Fire Services,
Division 13/Squad 270,40.695297,-73.825876,Queens,Fire Services,
Battalion 51/Engine 308,40.683905,-73.823361,Queens,Fire Services,
Battalion 50/Engine 298/Ladder 127,40.707617,-73.804199,Queens,Fire Services,
Engine 303/Ladder 126,40.693527,-73.806938,Queens,Fire Services,
Engine 275/Ladder 133,40.693448,-73.781107,Queens,Fire Services,
Engine 301/Ladder 150,40.714467,-73.763078,Queens,Fire Services,
Engine 304/Ladder 162,40.716907,-73.735945,Queens,Fire Services,
Engine 302/Ladder 155,40.674054,-73.795083,Queens,Fire Services,
Battalion 54/Engine 317/Ladder 165,40.693122,-73.755649,Queens,Fire Services,
Engine 311/Ladder 158,40.663608,-73.759838,Queens,Fire Services,
Engine 314,40.664034,-73.740698,Queens,Fire Services,
Engine 331/Ladder 173,40.659245,-73.839515,Queens,Fire Services,
Engine 268/Ladder 137,40.580747,-73.838055,Queens,Fire Services,
Engine 329,40.566009,-73.881526,Queens,Fire Services,
Engine 266,40.586283,-73.816238,Queens,Fire Services,
Engine 291/Ladder 140,40.713082,-73.906674,Queens,Fire Services,
Engine 264/Engine 328/Ladder 134,40.604819,-73.75213,Queens,Fire Services,
Queens Borough Command,40.793268,-73.776297,Queens,Fire Services,
Battalion 47/Engine 265/Ladder 121,40.593539,-73.779164,Queens,Fire Services,
Engine 155/Ladder 78,40.637547,-74.087694,Staten Island,Fire Services,
Battalion 22/Ladder 79,40.634384,-74.122039,Staten Island,Fire Services,
Engine 156,40.630985,-74.116719,Staten Island,Fire Services,
Engine 163/Ladder 83,40.615247,-74.130815,Staten Island,Fire Services,
Engine 153/Ladder 77,40.625033,-74.077692,Staten Island,Fire Services,
Engine 165/Ladder 85,40.576077,-74.123714,Staten Island,Fire Services,
Engine 157/Ladder 80,40.636191,-74.135394,Staten Island,Fire Services,
Engine 158,40.635265,-74.160052,Staten Island,Fire Services,
Engine 166/Ladder 86,40.614264,-74.158172,Staten Island,Fire Services,
Staten Island Borough Command/Squad 8,40.59793,-74.180532,Staten Island,Fire Services,
Battalion 21/Engine 152,40.611716,-74.070475,Staten Island,Fire Services,
Engine 161/Ladder 81,40.596763,-74.069879,Staten Island,Fire Services,
Division 8/Engine 160/Rescue 5,40.60732,-74.089242,Staten Island,Fire Services,
Engine 159,40.590714,-74.100608,Staten Island,Fire Services,
Battalion 23/Engine 162/Ladder 82,40.543104,-74.147405,Staten Island,Fire Services,
Engine 167/Ladder 87,40.554191,-74.175479,Staten Island,Fire Services,
Engine 164/Ladder 84,40.535418,-74.196059,Staten Island,Fire Services,
Engine 151/Ladder 76,40.512739,-74.23895,Staten Island,Fire Services,
Engine 168,40.553942,-74.213083,Staten Island,Fire Services,
Marine 9,40.629954,-74.07243,Staten Island,Fire Services,
"NY THERAPEUTIC COMMUNITIES, INC. OP",40.7536251811,-73.9919065887,MANHATTAN,Hospitals & Clinics,
BAY RIDGE SUNSET PARK DIALYSIS CENTER,40.6455077087,-74.0238996982,BROOKLYN,Hospitals & Clinics,
CASSENA KIDNEY CARE AT SEA CREST,40.5722834748,-73.9899178532,BROOKLYN,Hospitals & Clinics,
RIDGEWOOD COMMUNICARE CLINIC,40.7030553698,-73.9053776702,QUEENS,Hospitals & Clinics,
MIDTOWN CTR FOR TRTMENT & RESEARCH OP,40.7647485789,-73.9547306049,MANHATTAN,Hospitals & Clinics,
CITIMED SURGERY CENTER,40.7049795416,-73.7948838995,QUEENS,Hospitals & Clinics,
BARUCH HOUSES FAMILY HEALTH CENTER,40.7167944396,-73.9800050325,MANHATTAN,Hospitals & Clinics,
"EL REGRESO, INC. OP",40.7125306794,-73.9619126082,BROOKLYN,Hospitals & Clinics,
MOUNTAINSIDE CHELSEA OP,40.7420071174,-73.9995465283,MANHATTAN,Hospitals & Clinics,
NEW DIRECTIONS OP,40.6780107005,-73.9734287511,BROOKLYN,Hospitals & Clinics,
MAIMONIDES MIDWOOD COMMUNITY HOSPITAL,40.6139265948,-73.9484956354,BROOKLYN,Hospitals & Clinics,
MOUNT SINAI HOSPITAL - MOUNT SINAI HOSPITAL OF QUEENS,40.7682567312,-73.9248670458,QUEENS,Hospitals & Clinics,
CASSENA KIDNEY CARE AT PENINSULA,40.5945326295,-73.7815147837,QUEENS,Hospitals & Clinics,
"QUEENS BOULEVARD ASC, LLC",40.7312272926,-73.8635857155,QUEENS,Hospitals & Clinics,
MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,40.7644035458,-73.9568537903,MANHATTAN,Hospitals & Clinics,
BRONXCARE CHEMICAL DEPENDENCE OP,40.831414662,-73.9032204674,BRONX,Hospitals & Clinics,
"ROCKWELL HEALTH, LLC",40.6771791349,-74.0056270067,BROOKLYN,Hospitals & Clinics,
CASA WASHINGTON HEIGHTS OP,40.7498391577,-73.9868462561,MANHATTAN,Hospitals & Clinics,
JOSEPH P ADDABBO-FAMILY HEALTH CENTER,40.5934896856,-73.7917740186,QUEENS,Hospitals & Clinics,
HUDSON SPECIALTY SURGERY CENTER,40.7521268921,-73.9998429169,MANHATTAN,Hospitals & Clinics,
MANHATTAN REPRODUCTIVE SURGERY CENTER,40.7073325178,-74.0126561935,MANHATTAN,Hospitals & Clinics,
ELMHURST HOSPITAL CENTER,40.7450882754,-73.8856696736,QUEENS,Hospitals & Clinics,
PEAKPOINT MIDTOWN WEST SURGERY CENTER,40.7689239716,-73.9930949717,MANHATTAN,Hospitals & Clinics,
URBAN HEALTH PLAN,40.8250479365,-73.8922945074,BRONX,Hospitals & Clinics,
IDA G. ISRAEL COMMUNITY HEALTH CENTER,40.5788056575,-73.9902466619,BROOKLYN,Hospitals & Clinics,
KEW GARDENS DIALYSIS CENTER,40.7130428741,-73.8288004186,QUEENS,Hospitals & Clinics,
GRANT HOUSES CLINIC,40.8145705091,-73.958327069,MANHATTAN,Hospitals & Clinics,
U.S. RENAL CARE FOREST HILLS DIALYSIS,40.7220672838,-73.8506111679,QUEENS,Hospitals & Clinics,
SILBERSTEIN CLINIC OP1,40.6357092184,-74.1057876997,STATEN ISLAND,Hospitals & Clinics,
MORRISANIA DIAGNOSTIC & TREATMENT CENTER,40.8362236157,-73.9202918374,BRONX,Hospitals & Clinics,
"BROOKLYN COMPREHENSIVE CARE CENTER, INC.",40.6075592914,-73.9884096335,BROOKLYN,Hospitals & Clinics,
STATEN ISLAND UNIVERSITY HOSPITAL OP,40.5847678934,-74.086048225,STATEN ISLAND,Hospitals & Clinics,
LOWER MANHATTAN DIALYSIS CENTER INC,40.7446404731,-73.9748326182,MANHATTAN,Hospitals & Clinics,
COUNSELING SERVICE OF E.D.N.Y. OP 2,40.6934879413,-73.9914153174,BROOKLYN,Hospitals & Clinics,
NARCO FREEDOM INC,40.8145435805,-73.9193460175,BRONX,Hospitals & Clinics,
"PARALLAX CENTER, INC. OP",40.7450617213,-73.9799739074,MANHATTAN,Hospitals & Clinics,
THE ENDOSCOPY CENTER OF QUEENS,40.7736350355,-73.9132989416,QUEENS,Hospitals & Clinics,
MEDCARE LLC,40.6890645058,-73.9564367011,BROOKLYN,Hospitals & Clinics,
U.S. RENAL CARE NORTH FLUSHING DIALYSIS,40.7722406168,-73.7943628225,QUEENS,Hospitals & Clinics,
WASHINGTON HEIGHTS CHILD HEALTH CARE CENTER,40.8410612804,-73.9402565532,MANHATTAN,Hospitals & Clinics,
SYDENHAM HEALTH CENTER,40.8093386512,-73.9491974841,MANHATTAN,Hospitals & Clinics,
"HEALTHCARE CHOICES NY, INC.",40.6233567352,-73.9929967105,BROOKLYN,Hospitals & Clinics,
LSA RECOVERY (IDCC) OP,40.609720132,-73.9567588286,BROOKLYN,Hospitals & Clinics,
NYU LANGONE HOSPITAL-BROOKLYN,40.646552092,-74.0210877868,BROOKLYN,Hospitals & Clinics,
NEXT STEPS NORTH OP2,40.8459168556,-73.8407638238,BRONX,Hospitals & Clinics,
"SURGICARE OF MANHATTAN, LLC",40.7500698353,-73.9716592947,MANHATTAN,Hospitals & Clinics,
RICHMOND PAIN MANAGEMENT ASC,40.5952918163,-74.0857513097,STATEN ISLAND,Hospitals & Clinics,
MARINER'S HARBOR HOUSES CHILD HEALTH CLINIC,40.62493036,-74.1569470759,STATEN ISLAND,Hospitals & Clinics,
EAST HAMPTON OUTPATIENT SERVICES OP,40.7646826347,-73.9402857949,QUEENS,Hospitals & Clinics,
GOUVERNEUR DIAGNOSTIC & TREATMENT CENTER,40.713181849,-73.9878677227,MANHATTAN,Hospitals & Clinics,
MONTEFIORE MEDICAL CENTER - HENRY & LUCY MOSES DIV,40.8804360481,-73.8798960259,BRONX,Hospitals & Clinics,
METRO HEALTHCARE PARTNERS,40.5985801881,-73.9418669821,BROOKLYN,Hospitals & Clinics,
J-CAP INC THOMAS & MARIE WHITE HEALTH CENTER,40.6819507709,-73.7928619905,QUEENS,Hospitals & Clinics,
MONTEFIORE MEDICAL CENTER OP,40.8459168556,-73.8407638238,BRONX,Hospitals & Clinics,
PESACH TIKVAH-HOPE DVLPMNT INC. OP,40.6931646625,-73.9561487122,BROOKLYN,Hospitals & Clinics,
LOWER EASTSIDE SERVICE CENTER INC,40.7110129735,-73.9829184714,MANHATTAN,Hospitals & Clinics,
"AHAVA MEDICAL AND REHABILITATION CENTER, LLC",40.6224106431,-73.9457151908,BROOKLYN,Hospitals & Clinics,
"OHEL MEDICAL, INC.",40.6185414983,-73.9615351041,BROOKLYN,Hospitals & Clinics,
LEXINGTON HEARING & SPEECH CENTER INC,40.7613468859,-73.8939999929,QUEENS,Hospitals & Clinics,
BROOKLYN SURGERY CENTER,40.6165793557,-73.9790401778,BROOKLYN,Hospitals & Clinics,
C.C.M.S. OP,40.6728201178,-73.9611405208,BROOKLYN,Hospitals & Clinics,
REFLECTIONS OP,40.7553591792,-73.8165428247,QUEENS,Hospitals & Clinics,
ADAPT COMMUNITY NETWORK,40.6309190901,-73.9735798196,BROOKLYN,Hospitals & Clinics,
TOUCH STONE PAVILION,40.5185653932,-74.1973452827,STATEN ISLAND,Hospitals & Clinics,
NEW YORK-PRESBYTERIAN HOSPITAL - NEW YORK WEILL CORNELL CENTER,40.764729053,-73.9539201238,MANHATTAN,Hospitals & Clinics,
"VOCATIONAL INSTRUCTION PROJECT COMMUNITY SERVICES, INC.",40.8421427002,-73.8902038804,BRONX,Hospitals & Clinics,
BELLEVUE HOSPITAL CENTER,40.7392535154,-73.9754888728,MANHATTAN,Hospitals & Clinics,
DYNAMIC YOUTH COMMUNITY INC OP,40.6128064331,-73.9632571889,BROOKLYN,Hospitals & Clinics,
RYAN/CHELSEA-CLINTON COMMUNITY HEALTH CENTER,40.7621161452,-73.9942063891,MANHATTAN,Hospitals & Clinics,
MH PROVIDERS OF WESTERN QUEENS OP,40.7437583673,-73.9023519556,QUEENS,Hospitals & Clinics,
NEW YORK-PRESBYTERIAN HOSPITAL - ALLEN HOSPITAL,40.8733458837,-73.9130252494,MANHATTAN,Hospitals & Clinics,
"NEWTOWN DIALYSIS CENTER, INC",40.7685730552,-73.921857351,QUEENS,Hospitals & Clinics,
NY HOTEL TRADES COUNCIL&HOTEL ASSOC OF NYC HEALTH/MIDTOWN CLINIC,40.7647327856,-73.9884146363,MANHATTAN,Hospitals & Clinics,
ISLAND REHABILITATIVE SERVICES,40.5837253177,-74.0871288611,STATEN ISLAND,Hospitals & Clinics,
LINCOLN  MEDICAL &  MENTAL HEALTH CENTER,40.8170688541,-73.9245035525,BRONX,Hospitals & Clinics,
